Policy Area,Dataset,Variable,Year,Amount,Tract,Tract Number,Neighborhood,GEOID,Location,Row ID,Date
Employment & Income,Income,Median Household Income,2015,"206,400","Census Tract 2628.02, Los Angeles County, California",262802,Pacific Palisades,1400000US06037262802,"(34.0430379, -118.5061199)",Median_Household_Income_2015_1400000US06037262802,01/01/2015
Employment & Income,Income,Median Household Income,2015,"36,125","Census Tract 1863.01, Los Angeles County, California",186301,Glassell Park,1400000US06037186301,"(34.1220355, -118.2414825)",Median_Household_Income_2015_1400000US06037186301,01/01/2015
Employment & Income,Income,Median Household Income,2014,"28,926","Census Tract 1911.20, Los Angeles County, California",191120,East Hollywood,1400000US06037191120,"(34.0929955, -118.3048465)",Median_Household_Income_2014_1400000US06037191120,01/01/2014
Employment & Income,Income,Median Household Income,2010,"26,892","Census Tract 2122.04, Los Angeles County, California",212204,Westlake,1400000US06037212204,"(34.0597755, -118.2861875)",Median_Household_Income_2010_1400000US06037212204,01/01/2010
Employment & Income,Income,Median Household Income,2011,"37,550","Census Tract 2197, Los Angeles County, California",219700,West Adams,1400000US06037219700,"(34.028076, -118.347852)",Median_Household_Income_2011_1400000US06037219700,01/01/2011
Employment & Income,Income,Median Household Income,2013,"37,037","Census Tract 2041.10, Los Angeles County, California",204110,Boyle Heights,1400000US06037204110,"(34.038791, -118.198734)",Median_Household_Income_2013_1400000US06037204110,01/01/2013
Employment & Income,Income,Median Household Income,2012,"105,057","Census Tract 4300.03, Los Angeles County, California",430003,Monrovia,1400000US06037430003,"(34.1682255, -117.942383)",Median_Household_Income_2012_1400000US06037430003,01/01/2012
Employment & Income,Income,Median Household Income,2013,"60,643","Census Tract 6512.21, Los Angeles County, California",651221,Torrance,1400000US06037651221,"(33.8210435, -118.355335)",Median_Household_Income_2013_1400000US06037651221,01/01/2013
Employment & Income,Income,Median Household Income,2016,"44,527","Census Tract 6016, Los Angeles County, California",601600,Lennox,1400000US06037601600,"(33.93469, -118.363465)",Median_Household_Income_2016_1400000US06037601600,01/01/2016
Employment & Income,Income,Median Household Income,2011,"103,173","Census Tract 1033, Los Angeles County, California",103300,Shadow Hills,1400000US06037103300,"(34.255439, -118.3527775)",Median_Household_Income_2011_1400000US06037103300,01/01/2011
Employment & Income,Income,Median Household Income,2016,"83,996","Census Tract 4054, Los Angeles County, California",405400,Vincent,1400000US06037405400,"(34.09288, -117.9336065)",Median_Household_Income_2016_1400000US06037405400,01/01/2016
Employment & Income,Income,Median Household Income,2015,"16,997","Census Tract 2094.03, Los Angeles County, California",209403,Westlake,1400000US06037209403,"(34.0531325, -118.273845)",Median_Household_Income_2015_1400000US06037209403,01/01/2015
Employment & Income,Income,Median Household Income,2012,"76,143","Census Tract 1873, Los Angeles County, California",187300,Silver Lake,1400000US06037187300,"(34.101596, -118.257665)",Median_Household_Income_2012_1400000US06037187300,01/01/2012
Employment & Income,Income,Median Household Income,2012,"42,051","Census Tract 1972, Los Angeles County, California",197200,Elysian Valley,1400000US06037197200,"(34.0898635, -118.2358515)",Median_Household_Income_2012_1400000US06037197200,01/01/2012
Employment & Income,Income,Median Household Income,2012,,"Census Tract 9800.13, Los Angeles County, California",980013,El Segundo,1400000US06037980013,"(33.9163945, -118.3853095)",Median_Household_Income_2012_1400000US06037980013,01/01/2012
Employment & Income,Income,Median Household Income,2014,"66,250","Census Tract 1953, Los Angeles County, California",195300,Los Feliz,1400000US06037195300,"(34.098795, -118.285197)",Median_Household_Income_2014_1400000US06037195300,01/01/2014
Employment & Income,Income,Median Household Income,2011,"70,858","Census Tract 5020.05, Los Angeles County, California",502005,South Whittier,1400000US06037502005,"(33.951895, -118.03503)",Median_Household_Income_2011_1400000US06037502005,01/01/2011
Employment & Income,Income,Median Household Income,2010,"67,667","Census Tract 1093, Los Angeles County, California",109300,Granada Hills,1400000US06037109300,"(34.272521, -118.479515)",Median_Household_Income_2010_1400000US06037109300,01/01/2010
Employment & Income,Income,Median Household Income,2016,"32,060","Census Tract 2948.20, Los Angeles County, California",294820,Wilmington,1400000US06037294820,"(33.779804, -118.2655705)",Median_Household_Income_2016_1400000US06037294820,01/01/2016
Employment & Income,Income,Median Household Income,2014,"37,200","Census Tract 2281, Los Angeles County, California",228100,Central-Alameda,1400000US06037228100,"(34.010118, -118.244922)",Median_Household_Income_2014_1400000US06037228100,01/01/2014
Employment & Income,Income,Median Household Income,2010,"85,313","Census Tract 5436.04, Los Angeles County, California",543604,Carson,1400000US06037543604,"(33.8083, -118.282031)",Median_Household_Income_2010_1400000US06037543604,01/01/2010
Employment & Income,Income,Median Household Income,2011,"89,007","Census Tract 8003.25, Los Angeles County, California",800325,Westlake Village,1400000US06037800325,"(34.142043, -118.818764)",Median_Household_Income_2011_1400000US06037800325,01/01/2011
Employment & Income,Income,Median Household Income,2010,"41,993","Census Tract 5341.02, Los Angeles County, California",534102,Bell Gardens,1400000US06037534102,"(33.9705995, -118.161146)",Median_Household_Income_2010_1400000US06037534102,01/01/2010
Employment & Income,Income,Median Household Income,2010,"111,250","Census Tract 2654.10, Los Angeles County, California",265410,Brentwood,1400000US06037265410,"(34.06678, -118.4636105)",Median_Household_Income_2010_1400000US06037265410,01/01/2010
Employment & Income,Income,Median Household Income,2016,"42,311","Census Tract 4331.01, Los Angeles County, California",433101,El Monte,1400000US06037433101,"(34.0677255, -118.0599025)",Median_Household_Income_2016_1400000US06037433101,01/01/2016
Employment & Income,Income,Median Household Income,2010,"23,275","Census Tract 2215, Los Angeles County, California",221500,Adams-Normandie,1400000US06037221500,"(34.034856, -118.3046185)",Median_Household_Income_2010_1400000US06037221500,01/01/2010
Employment & Income,Income,Median Household Income,2012,"36,464","Census Tract 2315, Los Angeles County, California",231500,Vermont Square,1400000US06037231500,"(34.0072765, -118.310826)",Median_Household_Income_2012_1400000US06037231500,01/01/2012
Employment & Income,Income,Median Household Income,2016,"65,398","Census Tract 2751.01, Los Angeles County, California",275101,Del Rey,1400000US06037275101,"(33.99916, -118.4045585)",Median_Household_Income_2016_1400000US06037275101,01/01/2016
Employment & Income,Income,Median Household Income,2011,"30,885","Census Tract 9007.01, Los Angeles County, California",900701,Lancaster,1400000US06037900701,"(34.682124, -118.14029)",Median_Household_Income_2011_1400000US06037900701,01/01/2011
Employment & Income,Income,Median Household Income,2016,"70,217","Census Tract 1096.04, Los Angeles County, California",109604,Mission Hills,1400000US06037109604,"(34.2615535, -118.465347)",Median_Household_Income_2016_1400000US06037109604,01/01/2016
Employment & Income,Income,Median Household Income,2011,"43,622","Census Tract 6018.02, Los Angeles County, California",601802,Lennox,1400000US06037601802,"(33.9400165, -118.350423)",Median_Household_Income_2011_1400000US06037601802,01/01/2011
Employment & Income,Income,Median Household Income,2013,"92,500","Census Tract 9200.41, Los Angeles County, California",920041,Santa Clarita,1400000US06037920041,"(34.418503, -118.434593)",Median_Household_Income_2013_1400000US06037920041,01/01/2013
Employment & Income,Income,Median Household Income,2011,"72,768","Census Tract 5719, Los Angeles County, California",571900,Long Beach,1400000US06037571900,"(33.834097, -118.1768285)",Median_Household_Income_2011_1400000US06037571900,01/01/2011
Employment & Income,Income,Median Household Income,2016,"32,195","Census Tract 1218.01, Los Angeles County, California",121801,Sun Valley,1400000US06037121801,"(34.21209, -118.3921495)",Median_Household_Income_2016_1400000US06037121801,01/01/2016
Employment & Income,Income,Median Household Income,2012,"86,463","Census Tract 9203.31, Los Angeles County, California",920331,Santa Clarita,1400000US06037920331,"(34.3965195, -118.5461425)",Median_Household_Income_2012_1400000US06037920331,01/01/2012
Employment & Income,Income,Median Household Income,2012,"63,783","Census Tract 2674.03, Los Angeles County, California",267403,Sawtelle,1400000US06037267403,"(34.047607, -118.4565715)",Median_Household_Income_2012_1400000US06037267403,01/01/2012
Employment & Income,Income,Median Household Income,2016,"70,673","Census Tract 4068, Los Angeles County, California",406800,West Covina,1400000US06037406800,"(34.0629195, -117.953793)",Median_Household_Income_2016_1400000US06037406800,01/01/2016
Employment & Income,Income,Median Household Income,2014,"45,966","Census Tract 4043.01, Los Angeles County, California",404301,Azusa,1400000US06037404301,"(34.1275255, -117.9040845)",Median_Household_Income_2014_1400000US06037404301,01/01/2014
Employment & Income,Income,Median Household Income,2012,"38,281","Census Tract 2423, Los Angeles County, California",242300,Watts,1400000US06037242300,"(33.948744, -118.246174)",Median_Household_Income_2012_1400000US06037242300,01/01/2012
Employment & Income,Income,Median Household Income,2013,"47,257","Census Tract 1349.04, Los Angeles County, California",134904,Winnetka,1400000US06037134904,"(34.1904695, -118.5796995)",Median_Household_Income_2013_1400000US06037134904,01/01/2013
Employment & Income,Income,Median Household Income,2013,"34,493","Census Tract 5341.02, Los Angeles County, California",534102,Bell Gardens,1400000US06037534102,"(33.9705995, -118.161146)",Median_Household_Income_2013_1400000US06037534102,01/01/2013
Employment & Income,Income,Median Household Income,2013,"102,083","Census Tract 4639, Los Angeles County, California",463900,Pasadena,1400000US06037463900,"(34.1298475, -118.159162)",Median_Household_Income_2013_1400000US06037463900,01/01/2013
Employment & Income,Income,Median Household Income,2016,"24,815","Census Tract 2375, Los Angeles County, California",237500,Vermont-Slauson,1400000US06037237500,"(33.978414, -118.289297)",Median_Household_Income_2016_1400000US06037237500,01/01/2016
Employment & Income,Income,Median Household Income,2012,"46,048","Census Tract 1310.10, Los Angeles County, California",131010,Reseda,1400000US06037131010,"(34.214552, -118.541108)",Median_Household_Income_2012_1400000US06037131010,01/01/2012
Employment & Income,Income,Median Household Income,2012,"63,692","Census Tract 6006.01, Los Angeles County, California",600601,Inglewood,1400000US06037600601,"(33.941846, -118.3220505)",Median_Household_Income_2012_1400000US06037600601,01/01/2012
Employment & Income,Income,Median Household Income,2012,"85,288","Census Tract 7032, Los Angeles County, California",703200,View Park-Windsor Hills,1400000US06037703200,"(33.9983555, -118.3403905)",Median_Household_Income_2012_1400000US06037703200,01/01/2012
Employment & Income,Income,Median Household Income,2011,"130,978","Census Tract 4638, Los Angeles County, California",463800,Pasadena,1400000US06037463800,"(34.13445, -118.1753385)",Median_Household_Income_2011_1400000US06037463800,01/01/2011
Employment & Income,Income,Median Household Income,2010,"30,276","Census Tract 5326.06, Los Angeles County, California",532606,Huntington Park,1400000US06037532606,"(33.983227, -118.2208325)",Median_Household_Income_2010_1400000US06037532606,01/01/2010
Employment & Income,Income,Median Household Income,2013,"75,313","Census Tract 1060.10, Los Angeles County, California",106010,Sylmar,1400000US06037106010,"(34.3231715, -118.444538)",Median_Household_Income_2013_1400000US06037106010,01/01/2013
Employment & Income,Income,Median Household Income,2015,"32,027","Census Tract 2221, Los Angeles County, California",222100,Adams-Normandie,1400000US06037222100,"(34.027317, -118.3024105)",Median_Household_Income_2015_1400000US06037222100,01/01/2015
Employment & Income,Income,Median Household Income,2010,"29,716","Census Tract 1200.20, Los Angeles County, California",120020,Panorama City,1400000US06037120020,"(34.2166115, -118.4541405)",Median_Household_Income_2010_1400000US06037120020,01/01/2010
Employment & Income,Income,Median Household Income,2016,,"Census Tract 5516, Los Angeles County, California",551600,Downey,1400000US06037551600,"(33.925708, -118.162308)",Median_Household_Income_2016_1400000US06037551600,01/01/2016
Employment & Income,Income,Median Household Income,2013,"64,049","Census Tract 5438.02, Los Angeles County, California",543802,Carson,1400000US06037543802,"(33.829768, -118.270758)",Median_Household_Income_2013_1400000US06037543802,01/01/2013
Employment & Income,Income,Median Household Income,2015,"131,875","Census Tract 6702.01, Los Angeles County, California",670201,Rolling Hills Estates,1400000US06037670201,"(33.7777515, -118.339328)",Median_Household_Income_2015_1400000US06037670201,01/01/2015
Employment & Income,Income,Median Household Income,2016,"76,413","Census Tract 1171.01, Los Angeles County, California",117101,North Hills,1400000US06037117101,"(34.2391215, -118.4617905)",Median_Household_Income_2016_1400000US06037117101,01/01/2016
Employment & Income,Income,Median Household Income,2011,"70,922","Census Tract 7003, Los Angeles County, California",700300,West Hollywood,1400000US06037700300,"(34.091624, -118.3731165)",Median_Household_Income_2011_1400000US06037700300,01/01/2011
Employment & Income,Income,Median Household Income,2012,"85,643","Census Tract 5700.02, Los Angeles County, California",570002,Lakewood,1400000US06037570002,"(33.8646595, -118.1294745)",Median_Household_Income_2012_1400000US06037570002,01/01/2012
Employment & Income,Income,Median Household Income,2012,"70,117","Census Tract 4338.02, Los Angeles County, California",433802,Whittier Narrows,1400000US06037433802,"(34.032494, -118.0598455)",Median_Household_Income_2012_1400000US06037433802,01/01/2012
Employment & Income,Income,Median Household Income,2012,"64,849","Census Tract 1153.01, Los Angeles County, California",115301,Northridge,1400000US06037115301,"(34.240482, -118.545339)",Median_Household_Income_2012_1400000US06037115301,01/01/2012
Employment & Income,Income,Median Household Income,2010,"78,039","Census Tract 2147, Los Angeles County, California",214700,Beverly Grove,1400000US06037214700,"(34.0665205, -118.366383)",Median_Household_Income_2010_1400000US06037214700,01/01/2010
Employment & Income,Income,Median Household Income,2011,"49,760","Census Tract 5424.02, Los Angeles County, California",542402,Compton,1400000US06037542402,"(33.881026, -118.211839)",Median_Household_Income_2011_1400000US06037542402,01/01/2011
Employment & Income,Income,Median Household Income,2011,"44,432","Census Tract 1924.20, Los Angeles County, California",192420,Larchmont,1400000US06037192420,"(34.07987, -118.311338)",Median_Household_Income_2011_1400000US06037192420,01/01/2011
Employment & Income,Income,Median Household Income,2012,"38,767","Census Tract 5338.03, Los Angeles County, California",533803,Bell,1400000US06037533803,"(33.9748395, -118.1829185)",Median_Household_Income_2012_1400000US06037533803,01/01/2012
Employment & Income,Income,Median Household Income,2012,"74,777","Census Tract 4018, Los Angeles County, California",401800,Claremont,1400000US06037401800,"(34.114227, -117.7151805)",Median_Household_Income_2012_1400000US06037401800,01/01/2012
Employment & Income,Income,Median Household Income,2015,,"Census Tract 9800.14, Los Angeles County, California",980014,Wilmington,1400000US06037980014,"(33.7950245, -118.240815)",Median_Household_Income_2015_1400000US06037980014,01/01/2015
Employment & Income,Income,Median Household Income,2016,"40,357","Census Tract 1271.04, Los Angeles County, California",127104,Van Nuys,1400000US06037127104,"(34.2056005, -118.4356785)",Median_Household_Income_2016_1400000US06037127104,01/01/2016
Employment & Income,Income,Median Household Income,2013,"62,396","Census Tract 5032.02, Los Angeles County, California",503202,South Whittier,1400000US06037503202,"(33.9392895, -118.0352025)",Median_Household_Income_2013_1400000US06037503202,01/01/2013
Employment & Income,Income,Median Household Income,2011,"116,354","Census Tract 4612, Los Angeles County, California",461200,Altadena,1400000US06037461200,"(34.1801065, -118.113418)",Median_Household_Income_2011_1400000US06037461200,01/01/2011
Employment & Income,Income,Median Household Income,2013,"25,668","Census Tract 6003.04, Los Angeles County, California",600304,Westmont,1400000US06037600304,"(33.9354725, -118.2940895)",Median_Household_Income_2013_1400000US06037600304,01/01/2013
Employment & Income,Income,Median Household Income,2015,"96,006","Census Tract 5016, Los Angeles County, California",501600,Whittier,1400000US06037501600,"(33.9783585, -118.0077355)",Median_Household_Income_2015_1400000US06037501600,01/01/2015
Employment & Income,Income,Median Household Income,2011,"51,071","Census Tract 9102.01, Los Angeles County, California",910201,Palmdale,1400000US06037910201,"(34.6165185, -118.1332205)",Median_Household_Income_2011_1400000US06037910201,01/01/2011
Employment & Income,Income,Median Household Income,2011,"50,411","Census Tract 2722.01, Los Angeles County, California",272201,Mar Vista,1400000US06037272201,"(34.000385, -118.434124)",Median_Household_Income_2011_1400000US06037272201,01/01/2011
Employment & Income,Income,Median Household Income,2010,"103,949","Census Tract 4802.01, Los Angeles County, California",480201,San Gabriel,1400000US06037480201,"(34.1079865, -118.1118095)",Median_Household_Income_2010_1400000US06037480201,01/01/2010
Employment & Income,Income,Median Household Income,2010,"40,496","Census Tract 5348.03, Los Angeles County, California",534803,Walnut Park,1400000US06037534803,"(33.9697565, -118.224228)",Median_Household_Income_2010_1400000US06037534803,01/01/2010
Employment & Income,Income,Median Household Income,2013,"45,453","Census Tract 5427, Los Angeles County, California",542700,Compton,1400000US06037542700,"(33.9013835, -118.2371125)",Median_Household_Income_2013_1400000US06037542700,01/01/2013
Employment & Income,Income,Median Household Income,2012,"68,764","Census Tract 5010.02, Los Angeles County, California",501002,West Whittier-Los Nietos,1400000US06037501002,"(33.982215, -118.0614895)",Median_Household_Income_2012_1400000US06037501002,01/01/2012
Employment & Income,Income,Median Household Income,2016,"70,826","Census Tract 7017.01, Los Angeles County, California",701701,Santa Monica,1400000US06037701701,"(34.032321, -118.4722855)",Median_Household_Income_2016_1400000US06037701701,01/01/2016
Employment & Income,Income,Median Household Income,2014,"68,157","Census Tract 9107.05, Los Angeles County, California",910705,Palmdale,1400000US06037910705,"(34.568801, -118.0183425)",Median_Household_Income_2014_1400000US06037910705,01/01/2014
Employment & Income,Income,Median Household Income,2010,"56,783","Census Tract 4081.37, Los Angeles County, California",408137,South San Jose Hills,1400000US06037408137,"(34.009108, -117.883356)",Median_Household_Income_2010_1400000US06037408137,01/01/2010
Employment & Income,Income,Median Household Income,2014,"100,050","Census Tract 2764, Los Angeles County, California",276400,Westchester,1400000US06037276400,"(33.967988, -118.4089775)",Median_Household_Income_2014_1400000US06037276400,01/01/2014
Employment & Income,Income,Median Household Income,2012,"70,871","Census Tract 1096.04, Los Angeles County, California",109604,Mission Hills,1400000US06037109604,"(34.2615535, -118.465347)",Median_Household_Income_2012_1400000US06037109604,01/01/2012
Employment & Income,Income,Median Household Income,2010,"69,830","Census Tract 2721, Los Angeles County, California",272100,Mar Vista,1400000US06037272100,"(34.0038595, -118.4422725)",Median_Household_Income_2010_1400000US06037272100,01/01/2010
Employment & Income,Income,Median Household Income,2014,"41,343","Census Tract 4025.02, Los Angeles County, California",402502,Pomona,1400000US06037402502,"(34.0475995, -117.76107)",Median_Household_Income_2014_1400000US06037402502,01/01/2014
Employment & Income,Income,Median Household Income,2016,"56,544","Census Tract 5533, Los Angeles County, California",553300,Bellflower,1400000US06037553300,"(33.9034715, -118.1384935)",Median_Household_Income_2016_1400000US06037553300,01/01/2016
Employment & Income,Income,Median Household Income,2011,"55,938","Census Tract 2673, Los Angeles County, California",267300,Sawtelle,1400000US06037267300,"(34.045239, -118.449709)",Median_Household_Income_2011_1400000US06037267300,01/01/2011
Employment & Income,Income,Median Household Income,2014,"61,369","Census Tract 5031.04, Los Angeles County, California",503104,South Whittier,1400000US06037503104,"(33.9212825, -118.041571)",Median_Household_Income_2014_1400000US06037503104,01/01/2014
Employment & Income,Income,Median Household Income,2013,"79,750","Census Tract 2964.01, Los Angeles County, California",296401,San Pedro,1400000US06037296401,"(33.7417575, -118.3143515)",Median_Household_Income_2013_1400000US06037296401,01/01/2013
Employment & Income,Income,Median Household Income,2015,"80,833","Census Tract 7025.01, Los Angeles County, California",702501,Culver City,1400000US06037702501,"(34.014408, -118.3973335)",Median_Household_Income_2015_1400000US06037702501,01/01/2015
Employment & Income,Income,Median Household Income,2016,"73,819","Census Tract 1021.03, Los Angeles County, California",102103,Shadow Hills,1400000US06037102103,"(34.224155, -118.354339)",Median_Household_Income_2016_1400000US06037102103,01/01/2016
Employment & Income,Income,Median Household Income,2011,"36,075","Census Tract 1926.20, Los Angeles County, California",192620,East Hollywood,1400000US06037192620,"(34.0776705, -118.296054)",Median_Household_Income_2011_1400000US06037192620,01/01/2011
Employment & Income,Income,Median Household Income,2016,"50,323","Census Tract 6040.01, Los Angeles County, California",604001,Lawndale,1400000US06037604001,"(33.8837445, -118.356835)",Median_Household_Income_2016_1400000US06037604001,01/01/2016
Employment & Income,Income,Median Household Income,2010,"97,063","Census Tract 1414, Los Angeles County, California",141400,Encino,1400000US06037141400,"(34.1568045, -118.475833)",Median_Household_Income_2010_1400000US06037141400,01/01/2010
Employment & Income,Income,Median Household Income,2012,"53,250","Census Tract 5307, Los Angeles County, California",530700,East Los Angeles,1400000US06037530700,"(34.058801, -118.1809405)",Median_Household_Income_2012_1400000US06037530700,01/01/2012
Employment & Income,Income,Median Household Income,2012,"50,742","Census Tract 1064.05, Los Angeles County, California",106405,Sylmar,1400000US06037106405,"(34.3146865, -118.448309)",Median_Household_Income_2012_1400000US06037106405,01/01/2012
Employment & Income,Income,Median Household Income,2010,"36,645","Census Tract 1242.04, Los Angeles County, California",124204,North Hollywood,1400000US06037124204,"(34.1739735, -118.3746565)",Median_Household_Income_2010_1400000US06037124204,01/01/2010
Employment & Income,Income,Median Household Income,2016,"33,477","Census Tract 2411.10, Los Angeles County, California",241110,Broadway-Manchester,1400000US06037241110,"(33.936481, -118.271695)",Median_Household_Income_2016_1400000US06037241110,01/01/2016
Employment & Income,Income,Median Household Income,2013,"64,543","Census Tract 2941.10, Los Angeles County, California",294110,Wilmington,1400000US06037294110,"(33.797961, -118.2592835)",Median_Household_Income_2013_1400000US06037294110,01/01/2013
Employment & Income,Income,Median Household Income,2013,"63,571","Census Tract 4006.04, Los Angeles County, California",400604,Azusa,1400000US06037400604,"(34.148685, -117.891244)",Median_Household_Income_2013_1400000US06037400604,01/01/2013
Employment & Income,Income,Median Household Income,2010,"46,653","Census Tract 5359.01, Los Angeles County, California",535901,South Gate,1400000US06037535901,"(33.9462855, -118.194686)",Median_Household_Income_2010_1400000US06037535901,01/01/2010
Employment & Income,Income,Median Household Income,2015,"39,671","Census Tract 2047, Los Angeles County, California",204700,Boyle Heights,1400000US06037204700,"(34.030962, -118.212412)",Median_Household_Income_2015_1400000US06037204700,01/01/2015
Employment & Income,Income,Median Household Income,2013,"23,939","Census Tract 2087.20, Los Angeles County, California",208720,Westlake,1400000US06037208720,"(34.062837, -118.2811225)",Median_Household_Income_2013_1400000US06037208720,01/01/2013
Employment & Income,Income,Median Household Income,2014,"54,397","Census Tract 4825.21, Los Angeles County, California",482521,South San Gabriel,1400000US06037482521,"(34.0499085, -118.0992635)",Median_Household_Income_2014_1400000US06037482521,01/01/2014
Employment & Income,Income,Median Household Income,2014,"36,282","Census Tract 9001.03, Los Angeles County, California",900103,Lake Los Angeles,1400000US06037900103,"(34.6312205, -117.845138)",Median_Household_Income_2014_1400000US06037900103,01/01/2014
Employment & Income,Income,Median Household Income,2010,"77,702","Census Tract 1246, Los Angeles County, California",124600,Sherman Oaks,1400000US06037124600,"(34.161935, -118.4268715)",Median_Household_Income_2010_1400000US06037124600,01/01/2010
Employment & Income,Income,Median Household Income,2012,"42,367","Census Tract 2946.20, Los Angeles County, California",294620,Wilmington,1400000US06037294620,"(33.78725, -118.2472725)",Median_Household_Income_2012_1400000US06037294620,01/01/2012
Employment & Income,Income,Median Household Income,2015,"66,010","Census Tract 5436.03, Los Angeles County, California",543603,West Carson,1400000US06037543603,"(33.805408, -118.2929415)",Median_Household_Income_2015_1400000US06037543603,01/01/2015
Employment & Income,Income,Median Household Income,2011,"32,321","Census Tract 4027.02, Los Angeles County, California",402702,Pomona,1400000US06037402702,"(34.064005, -117.726868)",Median_Household_Income_2011_1400000US06037402702,01/01/2011
Employment & Income,Income,Median Household Income,2013,"39,769","Census Tract 6025.04, Los Angeles County, California",602504,Hawthorne,1400000US06037602504,"(33.905557, -118.3373245)",Median_Household_Income_2013_1400000US06037602504,01/01/2013
Employment & Income,Income,Median Household Income,2016,"31,202","Census Tract 2423, Los Angeles County, California",242300,Watts,1400000US06037242300,"(33.948744, -118.246174)",Median_Household_Income_2016_1400000US06037242300,01/01/2016
Employment & Income,Income,Median Household Income,2013,"28,872","Census Tract 2328, Los Angeles County, California",232800,South Park,1400000US06037232800,"(33.9924525, -118.2771805)",Median_Household_Income_2013_1400000US06037232800,01/01/2013
Employment & Income,Income,Median Household Income,2013,"53,885","Census Tract 4329.01, Los Angeles County, California",432901,Rosemead,1400000US06037432901,"(34.076691, -118.071417)",Median_Household_Income_2013_1400000US06037432901,01/01/2013
Employment & Income,Income,Median Household Income,2011,"49,932","Census Tract 4075.02, Los Angeles County, California",407502,Valinda,1400000US06037407502,"(34.04334, -117.9385445)",Median_Household_Income_2011_1400000US06037407502,01/01/2011
Employment & Income,Income,Median Household Income,2012,"60,341","Census Tract 4335.03, Los Angeles County, California",433503,South El Monte,1400000US06037433503,"(34.0554575, -118.0490075)",Median_Household_Income_2012_1400000US06037433503,01/01/2012
Employment & Income,Income,Median Household Income,2016,"61,295","Census Tract 1348, Los Angeles County, California",134800,Winnetka,1400000US06037134800,"(34.195612, -118.5725685)",Median_Household_Income_2016_1400000US06037134800,01/01/2016
Employment & Income,Income,Median Household Income,2013,"84,904","Census Tract 3111, Los Angeles County, California",311100,Burbank,1400000US06037311100,"(34.1859125, -118.355053)",Median_Household_Income_2013_1400000US06037311100,01/01/2013
Employment & Income,Income,Median Household Income,2013,"53,159","Census Tract 5009, Los Angeles County, California",500900,Pico Rivera,1400000US06037500900,"(33.99359, -118.0809535)",Median_Household_Income_2013_1400000US06037500900,01/01/2013
Employment & Income,Income,Median Household Income,2014,"28,971","Census Tract 4339.01, Los Angeles County, California",433901,El Monte,1400000US06037433901,"(34.058593, -118.019927)",Median_Household_Income_2014_1400000US06037433901,01/01/2014
Employment & Income,Income,Median Household Income,2014,"56,546","Census Tract 4809.03, Los Angeles County, California",480903,Alhambra,1400000US06037480903,"(34.0737895, -118.139436)",Median_Household_Income_2014_1400000US06037480903,01/01/2014
Employment & Income,Income,Median Household Income,2016,"87,070","Census Tract 2963, Los Angeles County, California",296300,San Pedro,1400000US06037296300,"(33.7536825, -118.300135)",Median_Household_Income_2016_1400000US06037296300,01/01/2016
Employment & Income,Income,Median Household Income,2012,"42,019","Census Tract 2755, Los Angeles County, California",275500,Del Rey,1400000US06037275500,"(33.9923405, -118.4142945)",Median_Household_Income_2012_1400000US06037275500,01/01/2012
Employment & Income,Income,Median Household Income,2011,"29,656","Census Tract 2122.02, Los Angeles County, California",212202,Westlake,1400000US06037212202,"(34.056368, -118.2879195)",Median_Household_Income_2011_1400000US06037212202,01/01/2011
Employment & Income,Income,Median Household Income,2015,"73,043","Census Tract 1031.01, Los Angeles County, California",103101,Sunland,1400000US06037103101,"(34.274431, -118.30714)",Median_Household_Income_2015_1400000US06037103101,01/01/2015
Employment & Income,Income,Median Household Income,2013,"39,714","Census Tract 5310, Los Angeles County, California",531000,East Los Angeles,1400000US06037531000,"(34.040998, -118.17345)",Median_Household_Income_2013_1400000US06037531000,01/01/2013
Employment & Income,Income,Median Household Income,2012,"40,417","Census Tract 5330.02, Los Angeles County, California",533002,Huntington Park,1400000US06037533002,"(33.9775735, -118.238836)",Median_Household_Income_2012_1400000US06037533002,01/01/2012
Employment & Income,Income,Median Household Income,2013,"55,051","Census Tract 9008.03, Los Angeles County, California",900803,Lancaster,1400000US06037900803,"(34.7113425, -118.157119)",Median_Household_Income_2013_1400000US06037900803,01/01/2013
Employment & Income,Income,Median Household Income,2016,"72,788","Census Tract 4085.04, Los Angeles County, California",408504,Hacienda Heights,1400000US06037408504,"(33.9992735, -117.971451)",Median_Household_Income_2016_1400000US06037408504,01/01/2016
Employment & Income,Income,Median Household Income,2013,"33,347","Census Tract 4333.05, Los Angeles County, California",433305,El Monte,1400000US06037433305,"(34.0700755, -118.0125525)",Median_Household_Income_2013_1400000US06037433305,01/01/2013
Employment & Income,Income,Median Household Income,2012,"31,250","Census Tract 1282.10, Los Angeles County, California",128210,Van Nuys,1400000US06037128210,"(34.183584, -118.4443465)",Median_Household_Income_2012_1400000US06037128210,01/01/2012
Employment & Income,Income,Median Household Income,2013,"107,708","Census Tract 6512.01, Los Angeles County, California",651201,Torrance,1400000US06037651201,"(33.8205315, -118.367129)",Median_Household_Income_2013_1400000US06037651201,01/01/2013
Employment & Income,Income,Median Household Income,2011,"76,964","Census Tract 6510.01, Los Angeles County, California",651001,Torrance,1400000US06037651001,"(33.8111705, -118.314085)",Median_Household_Income_2011_1400000US06037651001,01/01/2011
